ステータス,FC実施年月日,性別,年代,CEFR,在住国,識別用のラベル,流入経路,集客経路
NS失注,2024-06-16,女性,不明,不明,日本,不明,不明,バイリンガール
NS失注,2024-06-16,女性,不明,不明,不明,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-17,女性,36〜45,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-17,女性,18〜25,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-17,女性,36〜45,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-17,女性,61以上,A2,日本,不明,不明,バイリンガール
入会,2024-06-17,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-17,女性,31〜35,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-17,女性,46〜60,A2,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-17,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-17,女性,36〜45,B1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-17,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-17,女性,不明,不明,不明,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-17,女性,26〜30,B1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-17,女性,不明,不明,不明,不明,不明,バイリンガール
失注,2024-06-17,女性,36〜45,B1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-17,女性,不明,不明,不明,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-17,女性,31〜35,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-17,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-17,女性,26〜30,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-18,男性,18〜25,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-18,女性,26〜30,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-18,女性,46〜60,A2,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,バイリンガール
入会,2024-06-18,女性,31〜35,B1,日本,不明,不明,バイリンガール
入会,2024-06-18,男性,61以上,A1,日本,不明,不明,バイリンガール
入会,2024-06-18,女性,46〜60,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-18,女性,36〜45,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-18,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-18,女性,36〜45,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-18,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-18,女性,26〜30,A1,国外,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-18,女性,31〜35,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-18,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-18,女性,不明,不明,不明,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-18,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-18,女性,36〜45,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-18,女性,46〜60,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会後・失注,2024-06-18,女性,31〜35,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-19,男性,31〜35,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-19,女性,31〜35,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-19,女性,31〜35,A2,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-19,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-19,女性,36〜45,B1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-19,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-19,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-19,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-19,女性,不明,不明,日本,不明,不明,バイリンガール
失注,2024-06-19,男性,18〜25,A2,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-19,女性,46〜60,B2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-19,女性,31〜35,A2,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-19,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-19,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-19,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-19,女性,36〜45,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-19,女性,36〜45,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-20,女性,31〜35,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-20,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-20,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-20,女性,31〜35,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-20,女性,61以上,A2,日本,ーー,その他（パラメ不明）,検索
入会,2024-06-20,女性,61以上,A1,日本,不明,不明,A8 本気の英会話
入会,2024-06-20,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-20,女性,31〜35,A2,国外,不明,不明,バイリンガール
NS失注,2024-06-20,男性,不明,不明,不明,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-20,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-20,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-20,女性,不明,不明,不明,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-20,女性,不明,不明,日本,不明,不明,バイリンガール
失注,2024-06-20,女性,31〜35,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-20,女性,31〜35,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-20,女性,18〜25,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-20,女性,26〜30,B1,日本,不明,不明,バイリンガール
入会,2024-06-21,女性,26〜30,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-21,女性,46〜60,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-21,女性,46〜60,A2,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
入会,2024-06-21,女性,46〜60,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-21,女性,36〜45,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-21,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,peco
入会,2024-06-21,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-21,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-21,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-21,男性,36〜45,A1,日本,不明,不明,バイリンガール
NS失注,2024-06-21,女性,不明,不明,不明,不明,不明,バイリンガール
NS失注,2024-06-21,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-21,女性,36〜45,B1,日本,不明,不明,バイリンガール
NS失注,2024-06-21,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-21,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-21,女性,46〜60,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-21,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-21,女性,31〜35,A1,日本,不明,不明,バイリンガール
失注,2024-06-21,女性,26〜30,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-21,女性,31〜35,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-22,女性,31〜35,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-22,女性,36〜45,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-22,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-22,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-22,女性,26〜30,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-22,男性,26〜30,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-22,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-22,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-22,女性,46〜60,B1,日本,不明,不明,バイリンガール
NS失注,2024-06-22,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-22,女性,26〜30,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-22,女性,18〜25,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-22,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-22,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-22,女性,18〜25,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-23,女性,31〜35,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会後・失注,2024-06-23,女性,26〜30,A2,日本,不明,不明,バイリンガール
入会,2024-06-23,女性,31〜35,A2,国外,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-23,女性,46〜60,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-23,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-23,女性,31〜35,A2,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-23,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2024-06-23,女性,31〜35,A1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-06-23,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
失注,2024-06-23,女性,36〜45,B2,日本,不明,不明,バイリンガール
失注,2024-06-23,女性,26〜30,A2,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
NS失注,2024-06-23,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
入会後・失注,2024-06-23,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-23,女性,36〜45,A1,日本,不明,不明,バイリンガール
NS失注,2024-06-23,男性,不明,不明,日本,不明,不明,バイリンガール
失注,2024-06-23,女性,36〜45,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-23,男性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-23,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-23,女性,不明,不明,不明,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-23,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-23,女性,36〜45,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-24,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-24,女性,36〜45,A1,日本,不明,不明,バイリンガール
入会,2024-06-24,女性,36〜45,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-24,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-24,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-24,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-24,女性,26〜30,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-24,女性,26〜30,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-24,女性,31〜35,A2,日本,不明,不明,バイリンガール
入会,2024-06-24,男性,36〜45,A1,日本,不明,不明,バイリンガール
失注,2024-06-24,女性,61以上,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-24,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-24,女性,26〜30,B1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-24,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-24,男性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-24,女性,31〜35,B2,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-24,女性,36〜45,A1,日本,不明,不明,バイリンガール
失注,2024-06-24,女性,31〜35,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-24,女性,26〜30,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-24,女性,18〜25,B1,日本,ーー,その他（パラメ不明）,バイリンガール
入会後・失注,2024-06-24,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-24,女性,31〜35,B1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-24,女性,不明,不明,日本,不明,不明,バイリンガール
入会,2024-06-24,女性,46〜60,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-24,女性,31〜35,A2,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-24,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2024-06-24,女性,46〜60,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-24,女性,18〜25,A1,日本,不明,不明,バイリンガール
失注,2024-06-24,女性,46〜60,B1,日本,不明,不明,バイリンガール
NS失注,2024-06-24,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-24,女性,不明,不明,日本,不明,不明,バイリンガール
失注,2024-06-24,女性,46〜60,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-24,女性,26〜30,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-24,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-24,男性,46〜60,不明,日本,不明,不明,バイリンガール
入会,2024-06-26,男性,10代前半,A1,日本,不明,不明,バイリンガール
入会後・失注,2024-06-26,女性,26〜30,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-26,女性,18〜25,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-26,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-06-26,女性,26〜30,不明,日本,mitsukaru_campaign_01ーaffiliatesーaffiliate,【アフィ】ミツカル,比較サイト
NS失注,2024-06-26,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-26,女性,26〜30,A1,国外,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-26,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-26,女性,36〜45,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-26,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-26,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-26,女性,46〜60,B2,日本,不明,不明,バイリンガール
失注,2024-06-26,女性,26〜30,B2,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-26,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-26,女性,46〜60,A2,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-27,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-27,女性,31〜35,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-27,男性,31〜35,A2,日本,不明,不明,受講生紹介
失注,2024-06-27,女性,31〜35,B1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-27,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-27,女性,26〜30,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-27,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-27,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-28,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-28,女性,31〜35,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-28,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,46〜60,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,31〜35,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,46〜60,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,26〜30,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,36〜45,A1,日本,不明,不明,バイリンガール
入会,2024-06-28,女性,46〜60,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,男性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,46〜60,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-28,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
NS失注,2024-06-28,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-28,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-28,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-28,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-28,女性,31〜35,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-29,女性,36〜45,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-29,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-29,女性,10代前半,A1,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,バイリンガール
入会,2024-06-29,女性,31〜35,A2,国外,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-29,女性,不明,不明,国外,不明,不明,バイリンガール
失注,2024-06-29,女性,26〜30,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
失注,2024-06-29,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
失注,2024-06-29,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-30,女性,31〜35,A1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-30,女性,26〜30,A2,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
入会,2024-06-30,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-30,女性,26〜30,A1,日本,ーー,その他（パラメ不明）,バイリンガール
入会,2024-06-30,女性,36〜45,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-30,女性,不明,不明,日本,不明,不明,バイリンガール
失注,2024-06-30,女性,18〜25,A1,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-30,女性,不明,不明,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",バイリンガール
NS失注,2024-06-30,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
NS失注,2024-06-30,女性,不明,不明,日本,ーー,その他（パラメ不明）,バイリンガール
